strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Guangdong/947/2012	KM027903	H3N2	2012-03-22	Swine	China	China	Swine	swine	Swine
A/swine/Iowa/A01501048/2014	KJ949138	H3N2	2014-05-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01392515/2013	KF772967	H3N2	2013-10-02	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/A01394278/2013	KF772964	H3N2	2013-09-19	Swine	Usa	North America	Swine	swine	Swine
A/swine/Guangdong/3488/2011	KM027607	H3N2	2011-10-20	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/3494/2011	KM027615	H3N2	2011-10-20	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/3502/2011	KM027623	H3N2	2011-10-20	Swine	China	China	Swine	swine	Swine
A/swine/Italy/600/1999	EU045362	H3N2	1999-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/7680/2001	EU045365	H3N2	2001-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/10659-1/2007	EU982295	H3N2	2007-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/50127/2007	EU982296	H3N2	2007-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Guangdong/04/2005	EU620739	H3N2	2005-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Missouri/A02136832/2017	MG763237	H3N2	2017-11-22	Swine	Usa	North America	Swine	swine	Swine
A/swine/Guangdong/03/2005	EU620731	H3N2	2005-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/02/2005	EU620723	H3N2	2005-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/3767/2011	KM027759	H3N2	2011-11-10	Swine	China	China	Swine	swine	Swine
A/swine/Guangdong/938/2012	KM027895	H3N2	2012-03-22	Swine	China	China	Swine	swine	Swine
