strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Goldenstedt/20754/2014	MK363150	H3N2	2014-10-16	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Rietberg/19732/2014	MK363094	H3N2	2014-02-19	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Roswinkel/18812/2013	MK363078	H3N2	2013-10-01	Swine	Netherlands	Europe	Swine	swine	Swine
A/swine/Nordwalde/18569/2013	MK363070	H3N2	2013-09-04	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Stapelfeld/18554/2013	MK363062	H3N2	2013-09-04	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Nordwalde/18367/2013	MK363054	H3N2	2013-08-02	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Nieheim/18259/2013	MK363046	H3N2	2013-07-16	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Glandorf/18169/2013	MK363038	H3N2	2013-07-03	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Warendorf/18914/2013	MK363086	H3N2	2013-10-16	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Zevenaar/21030/2014	MK363158	H3N2	2014-11-26	Swine	Netherlands	Europe	Swine	swine	Swine
A/swine/Borken/21121/2015	MK363166	H3N2	2015-01-07	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Guenne/21206/2015	MK363174	H3N2	2015-01-21	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Cloppenburg/22418/2015	MK363246	H3N2	2015-11-17	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Rietberg/22412/2015	MK363238	H3N2	2015-11-16	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Dreierwalde/21715/2015	MK363230	H3N2	2015-05-13	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Friesoythe/21704/2015	MK363222	H3N2	2015-05-18	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Friesoythe/21674/2015	MK363214	H3N2	2015-05-11	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Heiden/21511/2015	MK363206	H3N2	2015-03-30	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Spain/21350/2015	MK363198	H3N2	2015-02-25	Swine	Spain	Europe	Swine	swine	Swine
A/swine/Wielen/21300/2015	MK363190	H3N2	2015-02-12	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Borken/21229/2015	MK363182	H3N2	2015-01-22	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Altenberge/18142/2013	MK363030	H3N2	2013-07-03	Swine	Germany	Europe	Swine	swine	Swine
A/swine/Nordwalde/18134/2013	MK363022	H3N2	2013-06-27	Swine	Germany	Europe	Swine	swine	Swine
