strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Manitoba/D0478/2017	MK462685	H3N2	2017-01-26	Swine	Canada	North America	Swine	swine	Swine
A/swine/Texas/SG1270/2007	CY159848	H3N2	2007-03-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Manitoba/01782/2007	CY158683	H3N2	2007-10-03	Swine	Canada	North America	Swine	swine	Swine
A/swine/British_Columbia/SD0286/2018	MK462437	H3N2	2018-04-10	Swine	Canada	North America	Swine	swine	Swine
A/swine/Manitoba/D0477/2017	MK462316	H3N2	2017-01-17	Swine	Canada	North America	Swine	swine	Swine
A/swine/Manitoba/02946/2010	CY158755	H3N2	2010-01-20	Swine	Canada	North America	Swine	swine	Swine
A/swine/British_Columbia/SD0290/2018	MK462300	H3N2	2018-04-23	Swine	Canada	North America	Swine	swine	Swine
A/swine/Manitoba/01643/2007	CY158667	H3N2	2007-06-20	Swine	Canada	North America	Swine	swine	Swine
A/swine/Manitoba/01179/2006	CY158651	H3N2	2006-06-29	Swine	Canada	North America	Swine	swine	Swine
A/swine/Saskatchewan/01114/2006	CY158643	H3N2	2006-05-01	Swine	Canada	North America	Swine	swine	Swine
A/swine/North_Carolina/01216/2006	CY159371	H3N2	2006-08-16	Swine	Usa	North America	Swine	swine	Swine
A/swine/Alberta/00805/2005	CY158627	H3N2	2005-10-10	Swine	Canada	North America	Swine	swine	Swine
A/swine/Florida/UF-1/2017	MG928433	H3N2	2017-10-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Manitoba/D0497/2017	MK462677	H3N2	2017-04-20	Swine	Canada	North America	Swine	swine	Swine
A/swine/Mexico/SG1442/2010	CY158779	H3N2	2010-11-29	Swine	Mexico	North America	Swine	swine	Swine
A/swine/Saskatchewan/SD0219/2017	MK462661	H3N2	2017-02-14	Swine	Canada	North America	Swine	swine	Swine
A/swine/Mexico/SG1444/2011	CY158795	H3N2	2011-10-21	Swine	Mexico	North America	Swine	swine	Swine
A/swine/Arkansas/02598/2009	CY159427	H3N2	2009-02-12	Swine	Usa	North America	Swine	swine	Swine
A/swine/Saskatchewan/SD0284/2016	MK462960	H3N2	2016-05-24	Swine	Canada	North America	Swine	swine	Swine
A/swine/Mexico/SG1449/2011	CY158803	H3N2	2011-10-21	Swine	Mexico	North America	Swine	swine	Swine
A/swine/Manitoba/02862/2009	CY158739	H3N2	2009-07-01	Swine	Canada	North America	Swine	swine	Swine
A/swine/Manitoba/SG1432/2008	CY158723	H3N2	2008-06-17	Swine	Canada	North America	Swine	swine	Swine
A/swine/Manitoba/SG1431/2008	CY158715	H3N2	2008-06-17	Swine	Canada	North America	Swine	swine	Swine
A/swine/Alberta/SG1405/2005	CY158619	H3N2	2005-10-07	Swine	Canada	North America	Swine	swine	Swine
A/swine/North_Carolina/SG1364/2010	CY158987	H3N2	2010-11-24	Swine	Usa	North America	Swine	swine	Swine
A/swine/Manitoba/00446/2005	CY159027	H3N2	2005-01-25	Swine	Canada	North America	Swine	swine	Swine
A/swine/Oklahoma/SG1473/2005	CY159275	H3N2	2005-09-23	Swine	Usa	North America	Swine	swine	Swine
A/swine/Manitoba/D0480/2017	MK462936	H3N2	2017-01-26	Swine	Canada	North America	Swine	swine	Swine
A/swine/Ohio/17TOSU5166/2017	MK536313	H3N2	2017-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/Alberta/SD0230/2017	MK462405	H3N2	2017-04-21	Swine	Canada	North America	Swine	swine	Swine
A/swine/North_Carolina/SG1464/2004	CY159203	H3N2	2004-03-10	Swine	Usa	North America	Swine	swine	Swine
A/swine/Quebec/01001/2006	CY158635	H3N2	2006-02-23	Swine	Canada	North America	Swine	swine	Swine
A/swine/British_Columbia/00633/2005	CY158611	H3N2	2005-05-19	Swine	Canada	North America	Swine	swine	Swine
A/swine/North_Carolina/01506/2006	CY159347	H3N2	2006-10-31	Swine	Usa	North America	Swine	swine	Swine
A/swine/Saskatchewan/SD0256/2017	MK462469	H3N2	2017-11-23	Swine	Canada	North America	Swine	swine	Swine
A/swine/North_Carolina/SG1338/2009	CY158331	H3N2	2009-02-06	Swine	Usa	North America	Swine	swine	Swine
A/swine/Arkansas/02863/2009	CY159443	H3N2	2009-06-26	Swine	Usa	North America	Swine	swine	Swine
A/swine/Manitoba/01799/2007	CY158691	H3N2	2007-10-16	Swine	Canada	North America	Swine	swine	Swine
A/swine/Mexico/SG1447/2011	CY160230	H3N2	2011-10-21	Swine	Mexico	North America	Swine	swine	Swine
A/swine/Mexico/SG1448/2011	CY160238	H3N2	2011-10-21	Swine	Mexico	North America	Swine	swine	Swine
A/swine/North_Carolina/01052/2006	CY159355	H3N2	2006-03-14	Swine	Usa	North America	Swine	swine	Swine
A/swine/Alberta/SD0231/2017	MK462840	H3N2	2017-04-30	Swine	Canada	North America	Swine	swine	Swine
A/swine/North_Carolina/00950/2006	CY160262	H3N2	2006-09-27	Swine	Usa	North America	Swine	swine	Swine
A/swine/Arkansas/SG1298/2008	CY158147	H3N2	2008-12-30	Swine	Usa	North America	Swine	swine	Swine
A/swine/Arkansas/SG1295/2008	CY158131	H3N2	2008-05-15	Swine	Usa	North America	Swine	swine	Swine
A/swine/Minnesota/SG1294/2007	CY158123	H3N2	2007-04-05	Swine	Usa	North America	Swine	swine	Swine
A/swine/Alberta/SD0214/2017	MK462912	H3N2	2017-01-16	Swine	Canada	North America	Swine	swine	Swine
A/swine/Illinois/01131/2006	CY157985	H3N2	2006-05-05	Swine	Usa	North America	Swine	swine	Swine
A/swine/Manitoba/D0522/2017	MK462832	H3N2	2017-12-07	Swine	Canada	North America	Swine	swine	Swine
A/swine/Iowa/SG1469/2004	CY159243	H3N2	2004-10-14	Swine	Usa	North America	Swine	swine	Swine
A/swine/Saskatchewan/SD0271/2018	MK462565	H3N2	2018-03-09	Swine	Canada	North America	Swine	swine	Swine
A/swine/Iowa/17TOSU3472/2017	MK535713	H3N2	2017-06-01	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/01469/2007	CY159387	H3N2	2007-02-21	Swine	Usa	North America	Swine	swine	Swine
A/swine/Manitoba/SG1438/2011	CY158771	H3N2	2011-11-08	Swine	Canada	North America	Swine	swine	Swine
A/swine/Alberta/SD0261/2017	MK462928	H3N2	2017-12-07	Swine	Canada	North America	Swine	swine	Swine
A/swine/Indiana/17TOSU3899/2017	MK535441	H3N2	2017-06-01	Swine	Usa	North America	Swine	swine	Swine
A/mallard/Netherlands/3/2005	CY041244	H3N8	2005-XX-XX	Avian	Netherlands	Europe	Mallard	duck	Anseriformes
A/mallard/Wisconsin/1793/1983	CY178424	H3N2	1983-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Bar-headed_goose__Anser_indicus_/India/DBC1-12a/2016	MW036338	H3N8	2016-03-15	Avian	India	South Asia	Bar-headed Goose	goose	Anseriformes
A/swine/Iowa/19TOSU3065/2019	MT908009	H3N2	2019-06-07	Swine	Usa	North America	Swine	swine	Swine
A/mallard/Wisconsin/31/1975	CY179773	H3N2	1975-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/swine/Michigan/22TOSU3747/2022	OQ722929	H3N2	2022-08-06	Swine	Usa	North America	Swine	swine	Swine
A/turkey/England/1969	GU052277	H3N2	1969-XX-XX	Avian	United Kingdom	Europe	Turkey	turkey	Galliformes
A/mallard/Maryland/09OS1350/2009	CY203166	H3N2	2009-08-26	Avian	Usa	North America	Mallard	duck	Anseriformes
A/blue-winged_teal/Ohio/13OS1831/2013	KJ567971	H3N2	2013-09-07	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/duck/Mongolia/116/2011	LC339797	H3N8	2011-08-27	Avian	Mongolia	West Asia	Duck	duck	Anseriformes
A/blue-winged_teal/Wisconsin/13OS3463/2013	KJ567867	H3N2	2013-09-29	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/mallard/Wisconsin/2549/2009	CY097328	H3N2	2009-10-05	Avian	Usa	North America	Mallard	duck	Anseriformes
A/American_green-winged_teal/Ohio/13OS1867/2013	KJ568283	H3N2	2013-09-08	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/duck/Mongolia/83/2015	LC108130	H3N8	2015-08-30	Avian	Mongolia	West Asia	Duck	duck	Anseriformes
A/mallard/Wisconsin/2575/2009	CY097344	H3N2	2009-10-06	Avian	Usa	North America	Mallard	duck	Anseriformes
A/blue-winged_teal/Wisconsin/2720/2009	CY097488	H3N2	2009-10-17	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/northern_pintail/Wisconsin/2737/2009	CY097496	H3N2	2009-10-17	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/blue-winged_teal/Wisconsin/89/1979	CY180261	H3N2	1979-XX-XX	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/Green-winged_teal_Anas_crecca_/South_Korea/KNU2019-57/2019	MW527119	H3N8	2019-10-28	Avian	South Korea	Japan Korea	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Ohio/13OS1778/2013	KJ568259	H3N2	2013-09-14	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/mallard/Wisconsin/2543/2009	CY096988	H3N2	2009-10-05	Avian	Usa	North America	Mallard	duck	Anseriformes
A/blue-winged_teal/Ohio/14OS1080/2014	CY204066	H3N2	2014-09-06	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Ohio/13OS2056/2013	KJ568067	H3N2	2013-09-21	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/mallard/Wisconsin/414/1981	CY178777	H3N2	1981-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/blue-winged_teal/Wisconsin/331/1981	CY178665	H3N2	1981-XX-XX	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
